Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result
Valorant Champions 2022,Group Stage,Opening (A),Paper Rex vs EDward Gaming,Paper Rex,EDward Gaming,2,1,Paper Rex won
Valorant Champions 2022,Group Stage,Opening (A),Leviatán vs Team Liquid,Leviatán,Team Liquid,2,0,Leviatán won
Valorant Champions 2022,Group Stage,Opening (B),ZETA DIVISION vs LOUD,ZETA DIVISION,LOUD,0,2,LOUD won
Valorant Champions 2022,Group Stage,Opening (B),OpTic Gaming vs BOOM Esports,OpTic Gaming,BOOM Esports,2,1,OpTic Gaming won
Valorant Champions 2022,Group Stage,Winner's (A),Paper Rex vs Leviatán,Paper Rex,Leviatán,0,2,Leviatán won
Valorant Champions 2022,Group Stage,Opening (D),DRX vs FURIA,DRX,FURIA,2,0,DRX won
Valorant Champions 2022,Group Stage,Opening (D),FNATIC vs 100 Thieves,FNATIC,100 Thieves,1,2,100 Thieves won
Valorant Champions 2022,Group Stage,Winner's (B),OpTic Gaming vs LOUD,OpTic Gaming,LOUD,2,1,OpTic Gaming won
Valorant Champions 2022,Group Stage,Opening (C),XSET vs XERXIA Esports,XSET,XERXIA Esports,2,0,XSET won
Valorant Champions 2022,Group Stage,Opening (C),FunPlus Phoenix vs KRÜ Esports,FunPlus Phoenix,KRÜ Esports,2,0,FunPlus Phoenix won
Valorant Champions 2022,Group Stage,Winner's (D),DRX vs 100 Thieves,DRX,100 Thieves,2,0,DRX won
Valorant Champions 2022,Group Stage,Elimination (B),BOOM Esports vs ZETA DIVISION,BOOM Esports,ZETA DIVISION,1,2,ZETA DIVISION won
Valorant Champions 2022,Group Stage,Elimination (A),EDward Gaming vs Team Liquid,EDward Gaming,Team Liquid,0,2,Team Liquid won
Valorant Champions 2022,Group Stage,Elimination (C),KRÜ Esports vs XERXIA Esports,KRÜ Esports,XERXIA Esports,2,1,KRÜ Esports won
Valorant Champions 2022,Group Stage,Elimination (D),FURIA vs FNATIC,FURIA,FNATIC,1,2,FNATIC won
Valorant Champions 2022,Group Stage,Winner's (C),FunPlus Phoenix vs XSET,FunPlus Phoenix,XSET,1,2,XSET won
Valorant Champions 2022,Group Stage,Decider (A),Paper Rex vs Team Liquid,Paper Rex,Team Liquid,1,2,Team Liquid won
Valorant Champions 2022,Group Stage,Decider (B),LOUD vs ZETA DIVISION,LOUD,ZETA DIVISION,2,0,LOUD won
Valorant Champions 2022,Group Stage,Decider (C),FunPlus Phoenix vs KRÜ Esports,FunPlus Phoenix,KRÜ Esports,2,0,FunPlus Phoenix won
Valorant Champions 2022,Group Stage,Decider (D),100 Thieves vs FNATIC,100 Thieves,FNATIC,0,2,FNATIC won
Valorant Champions 2022,Playoffs,Upper Quarterfinals,Leviatán vs LOUD,Leviatán,LOUD,0,2,LOUD won
Valorant Champions 2022,Playoffs,Upper Quarterfinals,DRX vs FunPlus Phoenix,DRX,FunPlus Phoenix,2,0,DRX won
Valorant Champions 2022,Playoffs,Upper Quarterfinals,OpTic Gaming vs Team Liquid,OpTic Gaming,Team Liquid,2,1,OpTic Gaming won
Valorant Champions 2022,Playoffs,Upper Quarterfinals,XSET vs FNATIC,XSET,FNATIC,2,0,XSET won
Valorant Champions 2022,Playoffs,Lower Round 1,FunPlus Phoenix vs Leviatán,FunPlus Phoenix,Leviatán,2,0,FunPlus Phoenix won
Valorant Champions 2022,Playoffs,Lower Round 1,Team Liquid vs FNATIC,Team Liquid,FNATIC,0,2,FNATIC won
Valorant Champions 2022,Playoffs,Upper Semifinals,DRX vs LOUD,DRX,LOUD,0,2,LOUD won
Valorant Champions 2022,Playoffs,Upper Semifinals,OpTic Gaming vs XSET,OpTic Gaming,XSET,2,1,OpTic Gaming won
Valorant Champions 2022,Playoffs,Lower Round 2,DRX vs FNATIC,DRX,FNATIC,2,1,DRX won
Valorant Champions 2022,Playoffs,Lower Round 2,XSET vs FunPlus Phoenix,XSET,FunPlus Phoenix,1,2,FunPlus Phoenix won
Valorant Champions 2022,Playoffs,Upper Final,LOUD vs OpTic Gaming,LOUD,OpTic Gaming,2,0,LOUD won
Valorant Champions 2022,Playoffs,Lower Round 3,FunPlus Phoenix vs DRX,FunPlus Phoenix,DRX,0,2,DRX won
Valorant Champions 2022,Playoffs,Lower Final,OpTic Gaming vs DRX,OpTic Gaming,DRX,3,2,OpTic Gaming won
Valorant Champions 2022,Playoffs,Grand Final,LOUD vs OpTic Gaming,LOUD,OpTic Gaming,3,1,LOUD won
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Ninjas In Pyjamas vs 9z Team,Ninjas In Pyjamas,9z Team,1,2,9z Team won
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,FUSION vs FURIA,FUSION,FURIA,0,2,FURIA won
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,Keyd Stars vs E-Xolos LAZER,Keyd Stars,E-Xolos LAZER,2,0,Keyd Stars won
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Quarterfinals,KRÜ Esports vs TBK Esports,KRÜ Esports,TBK Esports,2,1,KRÜ Esports won
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,9z Team vs FURIA,9z Team,FURIA,0,2,FURIA won
Champions Tour South America: Last Chance Qualifier,Main Event,Upper Semifinals,KRÜ Esports vs Keyd Stars,KRÜ Esports,Keyd Stars,2,0,KRÜ Esports won
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,Ninjas In Pyjamas vs FUSION,Ninjas In Pyjamas,FUSION,2,0,Ninjas In Pyjamas won
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 1,TBK Esports vs E-Xolos LAZER,TBK Esports,E-Xolos LAZER,2,1,TBK Esports won
Champions Tour South America: Last Chance Qualifier,Main Event,Lower Round 2,9z Team vs TBK Esports,9z Team,TBK Esports,0,2,TBK Esports won
